transaction_date,card,merchant,amount_cad
2026-01-17,amex-1001,NETFLIX.COM             844-505-2993,9.03
2026-01-19,amex-1001,AMZN MKTP CA*VQ0TB4V33  866-216-1072,336.74
2026-01-19,amex-1001,APPLE.COM/BILL          TORONTO,4.51
2026-01-19,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,12.98
2026-01-19,cibc-8359,"BOGDA RESTAURANT WATERLOO, ON",47.75
2026-01-19,cibc-8359,"T&T SUPERMARKET #028 WATERLOO, ON",57.18
2026-01-20,amex-1001,AMZN MKTP CA*4Q7F39PQ3  866-216-1072,13.55
2026-01-20,amex-1001,AMZN MKTP CA*AR9ZA0PF3  866-216-1072,336.74
2026-01-20,amex-1001,AMZN MKTP CA*EZ9ZN87E3  866-216-1072,168.37
2026-01-20,amex-1001,MCDONALD'S #4384        SIMCOE,7.44
2026-01-20,amex-1001,MCDONALD'S #4384        SIMCOE,11.84
2026-01-20,amex-1001,SHOPPERS DRUG MART #115 SIMCOE,128.99
2026-01-20,cibc-8359,"BARBURRITO SIMCOE, ON",16.38
2026-01-20,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",20.87
2026-01-21,amex-1001,APPLE.COM/BILL          TORONTO,19.20
2026-01-21,amex-1001,RONA SIMCOE 33420 RONA  SIMCOE,56.66
2026-01-22,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,10.05
2026-01-22,cibc-8359,"SIMCOE HOME HARDWARE SIMCOE, ON",92.60
2026-01-23,amex-1001,SIMCOE PIZZA HUT SIMCOE SIMCOE,25.98
2026-01-23,cibc-2451,PAYMENT THANK YOU/PAIEMEN T MERCI,-500.00
2026-01-23,cibc-8359,"BARBURRITO SIMCOE, ON",23.15
2026-01-24,amex-1001,AMZN MKTP CA*0X4LZ89P3  866-216-1072,257.63
2026-01-24,amex-1001,AMZN MKTP CA*MX6J95A13  866-216-1072,37.28
2026-01-24,amex-1001,RONA SIMCOE 33420 RONA  SIMCOE,70.24
2026-01-25,amex-1001,AUDIBLE CA*0N16W02D3    AMZN.COM/BILL,9.44
2026-01-25,amex-1001,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68
2026-01-26,amex-1001,SWISS CHALET 1958       SIMCOE,36.49
2026-01-26,cibc-8359,"BARBURRITO SIMCOE, ON",16.38
2026-01-26,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-01-27,cibc-8359,PAYMENT THANK YOU/PAIEMEN T MERCI,-1373.39
2026-01-27,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",41.19
2026-01-28,amex-1001,CT SHAWARMA BRANTFORD   BRANTFORD,1.70
2026-01-28,amex-1001,CT SHAWARMA BRANTFORD   BRANTFORD,17.50
2026-01-28,amex-1001,PAYMENT RECEIVED - THANK YOU,-1574.57
2026-01-28,amex-1001,THE HOME DEPOT #7138    BRANTFORD,251.45
2026-01-29,amex-1001,GOOGLE *HEADSPACE SLEE  G.CO/HELPPAY#,101.69
2026-01-29,cibc-8359,"COSTCO GAS #1669 BRANTFORD, ON",59.67
2026-01-30,amex-1001,THE INFORMATION         SAN FRANCISCO,62.52
2026-01-31,amex-1001,RABBA FINE FOODS #171   TORONTO,32.44
2026-02-01,amex-1001,GOOGLE *CLOUD KH7ZD3    G.CO/HELPPAY#,478.42
2026-02-01,amex-1001,Montfort Mediterranean  BURLINGTON,31.51
2026-02-01,amex-1001,REXALL PHARMACY #0083 M MISSISSAUGA,187.15
2026-02-01,amex-1001,THE HOME DEPOT #7007    ANCASTER,4.05
2026-02-01,amex-1001,WHOOP                   BOSTON,349.00
2026-02-02,amex-1001,INFLUXDATA              SAN FRANCISCO,1063.68
2026-02-02,amex-1001,SHOPPERS DRUG MART #115 SIMCOE,2.79
2026-02-02,cibc-8359,"COSTCO *ANNUAL RENEWAL OTTAWA, ON",146.90
2026-02-02,cibc-8359,"MEETRICE NOODLE MARKHAM, ON",37.51
2026-02-02,cibc-8359,"THE SWEET SPOT TORONTO, ON",11.39
2026-02-02,cibc-8359,"YOURMIANER NOODLE HOUS TORONTO, ON",32.90
2026-02-03,amex-1001,BELL CANADA (OB)        MONTREAL,197.69
2026-02-03,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,264.40
2026-02-03,amex-1001,THE HOME DEPOT #7138    BRANTFORD,7.48
2026-02-04,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",10.49
2026-02-04,cibc-8359,"TST-Tahinis - 1916 Co Brantford, ON",19.19
2026-02-05,amex-1001,AMZN MKTP CA*O68B701F3  866-216-1072,57.98
2026-02-05,amex-1001,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50
2026-02-05,amex-1001,Montfort Mediterranean  BURLINGTON,31.51
2026-02-05,amex-1001,SCOTLAND ESSO           SCOTLAND,61.93
2026-02-05,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",38.66
2026-02-06,amex-1001,AMZN MKTP CA*B807U0SO3  866-216-1072,90.39
2026-02-06,amex-1001,AMZN MKTP CA*EP6713F53  866-216-1072,40.67
2026-02-06,amex-1001,AMZN MKTP CA*KX8316FY3  866-216-1072,30.05
2026-02-06,amex-1001,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50
2026-02-06,amex-1001,HEY I AM YOGOST 001     TORONTO,11.87
2026-02-06,amex-1001,MUAY THAI SPORT BAR TOR TORONTO,29.89
2026-02-06,cibc-8359,"MAPLEWOOD MARKET BURLINGTON, ON",6.95
2026-02-07,amex-1001,BLACK + BLUE TORONTO    TORONTO,214.68
2026-02-07,amex-1001,MEMBERSHIP FEE INSTALLMENT,15.99
2026-02-08,amex-1001,AMZN MKTP CA            866-216-1072,-145.76
2026-02-08,amex-1001,AMZN MKTP CA            866-216-1072,-119.77
2026-02-08,amex-1001,SP INDOOR FARMER        WATERLOO,355.88
2026-02-08,amex-1001,STAPLES 450             THORNHILL,1.53
2026-02-09,amex-1001,AMZN MKTP CA*2H25D66C3  866-216-1072,67.79
2026-02-09,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,12.98
2026-02-09,amex-1001,SHOPPERS DRUG MART #115 SIMCOE,77.73
2026-02-09,amex-1001,SQUARE ONE INSURANCE S  VANCOUVER,16.34
2026-02-09,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-02-10,amex-1001,AMZN MKTP CA*UL3TP9BR3  866-216-1072,15.81
2026-02-10,amex-1001,AMZN MKTP CA*X446Q9H03  866-216-1072,45.18
2026-02-10,amex-1001,"CURSOR, AI POWERED IDE  NEW YORK",31.64
2026-02-10,cibc-8359,"BARBURRITO SIMCOE, ON",16.38
2026-02-10,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",33.72
2026-02-11,amex-1001,SWISS CHALET 1958       SIMCOE,26.61
2026-02-12,amex-1001,AMZN MKTP CA*2E35N09O3  866-216-1072,45.19
2026-02-12,amex-1001,AMZN MKTP CA*2Q5LQ1JB3  866-216-1072,15.10
2026-02-12,amex-1001,AMZN MKTP CA*5V7LC4QM3  866-216-1072,22.46
2026-02-13,amex-1001,AMZN MKTP CA*AO31K2993  866-216-1072,19.78
2026-02-13,amex-1001,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,31.64
2026-02-13,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,21.46
2026-02-13,amex-1001,SECURITY NATIONAL INSU  MONTREAL,193.08
2026-02-15,amex-1001,AMZN MKTP CA*2088961M3  866-216-1072,70.02
2026-02-15,amex-1001,AMZN MKTP CA*D66NA2VX3  866-216-1072,41.70
2026-02-15,amex-1001,AMZN MKTP CA*NZ19E7Z93  866-216-1072,54.61
2026-02-15,amex-1001,AMZN MKTP CA*Q813A3LW3  866-216-1072,15.81
2026-02-15,amex-1001,D J*WSJ                 800-568-7625,4.52
2026-02-15,amex-1001,MOBIL@ 4155 GAS STN     SIMCOE,64.20
2026-02-16,amex-1001,AMZN MKTP CA*B101D5U02  866-216-1072,24.96
2026-02-17,amex-1001,AMZN MKTP CA*MG63W9AX3  866-216-1072,25.10
2026-02-17,amex-1001,AMZN MKTP CA*T42L459D3  866-216-1072,50.58
2026-02-17,amex-1001,NETFLIX.COM             844-505-2993,9.03
2026-02-17,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",24.55
2026-02-18,cibc-8359,PAYMENT THANK YOU/PAIEMEN T MERCI,-573.03
2026-02-18,cibc-8359,"RCSS SIMCOE #2818 SIMCOE, ON",113.17
2026-02-19,amex-1001,APPLE.COM/BILL          TORONTO,4.51
2026-02-19,amex-1001,Montfort Mediterranean  BURLINGTON,38.00
2026-02-20,amex-1001,AMZN MKTP CA            866-216-1072,-119.77
2026-02-20,amex-1001,RABBA FINE FOODS #171   TORONTO,16.48
2026-02-20,amex-1001,TIM HORTONS #3143       TORONTO,6.08
2026-02-21,amex-1001,APPLE.COM/BILL          TORONTO,19.20
2026-02-21,amex-1001,HEY I AM YOGOST 001     TORONTO,11.87
2026-02-21,amex-1001,RABBA FINE FOODS #171   TORONTO,17.93
2026-02-21,amex-1001,UNIQLO CANADA           TORONTO,90.46
2026-02-23,amex-1001,2403384 ONTARIO LIMITED CALEDON,15.98
2026-02-23,cibc-8359,"MOM'S PAN-FRIED BUNS S TORONTO, ON",18.06
2026-02-23,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-02-23,cibc-8359,"YOU DON YA TORONTO, ON",40.28
2026-02-24,amex-1001,2403384 ONTARIO LIMITED CALEDON,16.04
2026-02-24,amex-1001,REXALL PHARMACY #8141 T TORONTO,135.97
2026-02-24,cibc-2451,PAYMENT THANK YOU/PAIEMEN T MERCI,-500.00
2026-02-24,cibc-8359,"T&T SUPERMARKET #032 TORONTO, ON",26.96
2026-02-25,amex-1001,"AUDIBLE, INC*KX5UQ0HP3  AMZN.COM/BILL",9.44
2026-02-25,amex-1001,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68
2026-02-25,cibc-8359,"MISTER FISH DOWNTOWN TORONTO, ON",28.16
2026-02-25,cibc-8359,"T&T SUPERMARKET #038 TORONTO, ON",51.25
2026-02-25,cibc-8359,"TUINA PLUS MASSAGE THE TORONTO, ON",141.25
2026-02-26,amex-1001,2403384 ONTARIO LIMITED CALEDON,18.64
2026-02-26,amex-1001,TIM HORTONS #3143       TORONTO,7.90
2026-02-27,amex-1001,THE INFORMATION         SAN FRANCISCO,63.11
2026-02-27,cibc-8359,"T&T SUPERMARKET #032 TORONTO, ON",37.91
2026-02-28,amex-1001,ADAFRUIT ELECTRONICS    BROOKLYN,399.97
2026-02-28,amex-1001,AMZN MKTP CA*BE11T47K2  866-216-1072,63.27
2026-02-28,amex-1001,CINEPLEX #8030 WEB QP   TORONTO,37.86
2026-02-28,amex-1001,COCA COLA BRAMPTON ON 0 BRAMPTON,5.75
2026-02-28,amex-1001,PAYMENT RECEIVED - THANK YOU,-10257.59
2026-02-28,amex-1001,UNCLE TETSU CANADA 2080 TORONTO,4.46
2026-03-01,amex-1001,GOOGLE *CLOUD V8T3HW    G.CO/HELPPAY#,136.67
2026-03-01,amex-1001,SHELL C08641            SCARBOROUGH,71.17
2026-03-02,amex-1001,DOORDASHCHIPOTLE        DOWNTOWN TORONT,24.52
2026-03-02,amex-1001,INFLUXDATA              SAN FRANCISCO,405.31
2026-03-02,cibc-8359,"HSU'S SEAFOOD TORONTO, ON",32.30
2026-03-02,cibc-8359,"MOM'S PAN FRIED DT TORONTO, ON",24.83
2026-03-03,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,275.98
2026-03-03,amex-1001,KOHA KITCHEN            TORONTO,22.43
2026-03-03,cibc-8359,"LEE CHEN ASIAN BISTRO TORONTO, ON",42.65
2026-03-04,amex-1001,JIMMY THE GREEK #025 T  TORONTO,26.81
2026-03-05,amex-1001,BELL CANADA (OB)        MONTREAL,211.25
2026-03-05,amex-1001,DOORDASHTHEPOKEBOX      DOWNTOWN TORONT,35.68
2026-03-05,amex-1001,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50
2026-03-06,amex-1001,2403384 ONTARIO LIMITED CALEDON,13.21
2026-03-06,amex-1001,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50
2026-03-06,amex-1001,RAKUTEN KOBO INC.       TORONTO,32.14
2026-03-06,cibc-2451,"HSU'S SEAFOOD TORONTO, ON",29.82
2026-03-06,cibc-2451,"THE SWEET SPOT TORONTO, ON",15.19
2026-03-07,amex-1001,MEMBERSHIP FEE INSTALLMENT,15.99
2026-03-08,amex-1001,2403384 ONTARIO LIMITED CALEDON,10.16
2026-03-09,amex-1001,SQUARE ONE INSURANCE S  VANCOUVER,16.34
2026-03-09,amex-1001,SWISS CHALET 1958       SIMCOE,30.81
2026-03-09,cibc-2451,"SS LOBLAW TORONTO LAKE TORONTO, ON",15.99
2026-03-09,cibc-2451,"SS LOBLAW TORONTO LAKE TORONTO, ON",31.14
2026-03-09,cibc-2451,"T&T SUPERMARKET #011 MARKHAM, ON",17.05
2026-03-09,cibc-2451,"T&T SUPERMARKET #011 MARKHAM, ON",53.56
2026-03-09,cibc-2451,"TUINA PLUS MASSAGE THERA TORONTO, ON",141.25
2026-03-09,cibc-2451,"YOURMIANER NOODLE HOUS NORTH YORK, ON",25.97
2026-03-09,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-03-10,amex-1001,AMZN MKTP CA*BP2ZX5VQ1  866-216-1072,214.69
2026-03-10,amex-1001,"CURSOR, AI POWERED IDE  NEW YORK",31.48
2026-03-10,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,10.05
2026-03-10,cibc-2451,"RCSS SIMCOE #2818 SIMCOE, ON",29.91
2026-03-11,cibc-2451,"BARBURRITO SIMCOE, ON",16.38
2026-03-11,cibc-2451,"SHOPPERS DRUG MART #11 SIMCOE, ON",1.99
2026-03-13,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.54
2026-03-13,amex-1001,ANTHROPIC               SAN FRANCISCO,33.90
2026-03-13,amex-1001,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,31.64
2026-03-13,amex-1001,HOLY COW STEAK HOUSE 00 TORONTO,20.78
2026-03-13,amex-1001,REXALL PHARMACY #8141 T TORONTO,122.99
2026-03-13,amex-1001,SECURITY NATIONAL INSU  MONTREAL,193.08
2026-03-14,amex-1001,PACE PARKING LTD        TORONTO,8.50
2026-03-14,amex-1001,RABBA FINE FOODS #171   TORONTO,40.20
2026-03-15,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.54
2026-03-15,amex-1001,D J*WSJ                 800-568-7625,4.52
2026-03-15,amex-1001,ESSO CIRCLE K           MARKHAM,85.24
2026-03-15,amex-1001,STARBUCKS COFFEE #57    CAMBRIDGE,10.40
2026-03-16,amex-1001,2403384 ONTARIO LIMITED CALEDON,15.25
2026-03-16,amex-1001,HEY I AM YOGOST 001     TORONTO,11.87
2026-03-16,cibc-2451,"LS Marvelous by Fred Toronto, ON",3.99
2026-03-16,cibc-2451,"THE SWEET SPOT TORONTO, ON",10.17
2026-03-16,cibc-2451,"YOU DON YA TORONTO, ON",44.18
2026-03-17,amex-1001,2403384 ONTARIO LIMITED CALEDON,16.60
2026-03-17,amex-1001,NETFLIX.COM             866-716-0414,9.03
2026-03-17,cibc-2451,"HSU'S SEAFOOD TORONTO, ON",37.27
2026-03-17,cibc-2451,"MOM'S PAN FRIED DT TORONTO, ON",6.77
2026-03-18,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.54
2026-03-18,amex-1001,AMZN MKTP CA*B534S1DD2  866-216-1072,9.71
2026-03-18,amex-1001,MCDONALD'S #29131 QPS   TORONTO,18.74
2026-03-18,amex-1001,MR. GREEK #106          TORONTO,30.51
2026-03-18,cibc-2451,"CAN SPORTS CENTER MARKHAM, ON",36.16
2026-03-18,cibc-2451,"SS LOBLAW TORONTO LAKE TORONTO, ON",4.51
2026-03-18,cibc-2451,"SS LOBLAW TORONTO LAKE TORONTO, ON",23.15
2026-03-19,amex-1001,APPLE.COM/BILL          TORONTO,4.51
2026-03-20,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,33.76
2026-03-20,cibc-2451,"RCSS SIMCOE #2818 SIMCOE, ON",17.55
2026-03-21,amex-1001,APPLE.COM/BILL          TORONTO,19.20
2026-03-22,amex-1001,SHELL C45022            KITCHENER,83.63
2026-03-23,cibc-2451,"KIN GYU JAPANESE GRILL WATERLOO, ON",59.77
2026-03-23,cibc-2451,"KOREAN BBQ RESTAURANT KITCHENER, ON",27.28
2026-03-23,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-03-24,amex-1001,AMZN MKTP CA*B52VM9FG0  866-216-1072,439.57
2026-03-24,amex-1001,AMZN MKTP CA*B561R94O0  866-216-1072,40.56
2026-03-24,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,10.05
2026-03-24,cibc-2451,PAYMENT THANK YOU/PAIEMEN T MERCI,-500.00
2026-03-24,cibc-2451,"RCSS SIMCOE #2818 SIMCOE, ON",21.16
2026-03-25,amex-1001,"AUDIBLE, INC*IC30F2PJ3  AMZN.COM/BILL",9.44
2026-03-25,amex-1001,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68
2026-03-25,cibc-2451,"BARBURRITO SIMCOE, ON",16.38
2026-03-25,cibc-2451,"RCSS SIMCOE #2818 SIMCOE, ON",18.61
2026-03-26,cibc-2451,"BARBURRITO SIMCOE, ON",16.38
2026-03-27,amex-1001,DOORDASHSHELBYSSHAW     DOWNTOWN TORONT,26.59
2026-03-27,amex-1001,GYRO MAZDA 00-080432223 EAST YORK,1695.03
2026-03-27,amex-1001,MAD RADISH LEASIDE 2130 TORONTO,18.08
2026-03-27,amex-1001,RABBA FINE FOODS #171   TORONTO,21.04
2026-03-27,amex-1001,THE INFORMATION         SAN FRANCISCO,64.02
2026-03-27,cibc-2451,"WATERLOO CENTRAL SUPER Waterloo, ON",13.02
2026-03-27,cibc-8359,PRE-AUTHORIZED PAYMENT - THANK YOU,-683.07
2026-03-28,amex-1001,PAYMENT RECEIVED - THANK YOU,-3519.87
2026-03-29,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.31
2026-03-29,amex-1001,RABBA FINE FOODS #171   TORONTO,3.48
2026-03-30,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.54
2026-03-30,amex-1001,AMZN MKTP CA*BC3ON4BT2  866-216-1072,145.76
2026-03-30,cibc-2451,"HSU'S SEAFOOD TORONTO, ON",29.82
2026-03-30,cibc-2451,"THE SWEET SPOT TORONTO, ON",11.39
2026-03-30,cibc-2451,"YOGO NORTH YORK, ON",20.09
2026-03-31,amex-1001,2403384 ONTARIO LIMITED CALEDON,13.89
2026-03-31,amex-1001,AMZN MKTP CA*BG3OK3MA1  866-216-1072,77.96
2026-03-31,amex-1001,AMZN MKTP CA*BG4FG4M81  866-216-1072,77.96
2026-03-31,amex-1001,HENRY'S                 TORONTO,28.24
2026-03-31,amex-1001,IMMIGRATION CANADA      OTTAWA,653.00
2026-03-31,amex-1001,RABBA FINE FOODS #171   TORONTO,8.38
2026-03-31,amex-1001,TORONTO PARKING AUTHORI TORONTO,3.25
2026-03-31,cibc-2451,"YOU DON YA TORONTO, ON",31.19
2026-04-01,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.48
2026-04-01,amex-1001,GOOGLE *CLOUD 6QVX5L    G.CO/HELPPAY#,116.86
2026-04-01,amex-1001,INFLUXDATA              SAN FRANCISCO,240.57
2026-04-01,amex-1001,POPEYES #12716          TORONTO,22.58
2026-04-01,amex-1001,RABBA FINE FOODS #171   TORONTO,4.74
2026-04-01,amex-1001,RABBA FINE FOODS #171   TORONTO,10.15
2026-04-01,cibc-2451,"CONV FEE -TORONTO RSD ETOBICOKE, ON",1.18
2026-04-01,cibc-2451,"CONV FEE -TORONTO RSD ETOBICOKE, ON",2.29
2026-04-01,cibc-2451,"RSD-PARKING TICKET-CREDIT TORONTO, ON",50.00
2026-04-01,cibc-2451,"RSD-PARKING TICKET-CREDIT TORONTO, ON",97.49
2026-04-01,cibc-2451,"T&T SUPERMARKET #038 TORONTO, ON",52.88
2026-04-02,amex-1001,2403384 ONTARIO LIMITED CALEDON,14.29
2026-04-02,amex-1001,BELL CANADA (OB)        MONTREAL,211.25
2026-04-02,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,275.98
2026-04-02,amex-1001,NYTIMES DISC*           800-698-4637,2.26
2026-04-02,amex-1001,REXALL PHARMACY #1974 T TORONTO,4.28
2026-04-02,amex-1001,REXALL PHARMACY #8141 T TORONTO,122.99
2026-04-03,amex-1001,PETRO-CANADA 00829      TORONTO,90.89
2026-04-03,amex-1001,SHUYI TEALICIOUS (394   NORTH YORK,7.86
2026-04-04,amex-1001,LS MEATY EATS           TORONTO,4.25
2026-04-04,amex-1001,LS MEATY EATS           TORONTO,42.55
2026-04-04,amex-1001,SHELBY'S                BRAMPTON,17.49
2026-04-05,amex-1001,ARISTOS SOUVLAKI & GYR  TORONTO,15.26
2026-04-05,amex-1001,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50
2026-04-06,amex-1001,2403384 ONTARIO LIMITED CALEDON,13.78
2026-04-06,amex-1001,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50
2026-04-06,cibc-2451,"HERO CERTIFIED BURGERS TORONTO, ON",16.09
2026-04-06,cibc-2451,"HSU'S SEAFOOD TORONTO, ON",29.82
2026-04-06,cibc-2451,"LEUNG YUE RESTAURANT INC KITCHENER, ON",36.20
2026-04-06,cibc-2451,"T&T SUPERMARKET #032 TORONTO, ON",25.75
2026-04-06,cibc-2451,"YOU DON YA TORONTO, ON",35.09
2026-04-06,cibc-8359,"NBX*BORDEN S FITNESS WATERFORD, ON",50.85
2026-04-07,amex-1001,MEMBERSHIP FEE INSTALLMENT,15.99
2026-04-07,cibc-2451,"GOLDEN TURTLE RESTAURANT MISSISSAUGA, ON",32.36
2026-04-07,cibc-2451,"T&T SUPERMARKET #015 MISSISSAUGA, ON",43.00
2026-04-08,amex-1001,KFC # 1587 KFC # 1587   SIMCOE,12.98
2026-04-08,cibc-2451,"RCSS SIMCOE #2818 SIMCOE, ON",19.00
2026-04-09,amex-1001,Montfort Mediterranean  BURLINGTON,31.51
2026-04-09,amex-1001,SHELL C02536            MISSISSAUGA,86.27
2026-04-09,amex-1001,SQUARE ONE INSURANCE S  VANCOUVER,17.44
2026-04-09,cibc-2451,"BARBURRITO SIMCOE, ON",16.38
2026-04-10,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.54
2026-04-10,amex-1001,"CURSOR, AI POWERED IDE  SAN FRANCISCO",32.11
2026-04-10,amex-1001,MY DOSA PLACE 001       TORONTO,7.33
2026-04-10,amex-1001,RABBA FINE FOODS #171   TORONTO,20.25
2026-04-10,amex-1001,SHAWARMA WEST 001       TORONTO,20.33
2026-04-10,cibc-2451,"MAPLEWOOD MARKET BURLINGTON, ON",7.26
2026-04-11,amex-1001,REXALL PHARMACY #8141 T TORONTO,67.78
2026-04-12,amex-1001,CURSOR USAGE  MAR       SAN FRANCISCO,26.02
2026-04-13,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.54
