transaction_date,card,merchant,amount_cad
2024-12-05,amex-1001,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95
2024-12-05,amex-1001,HOLY COW STEAK HOUSE 00 TORONTO,23.38
2024-12-05,amex-1001,PAYMENT RECEIVED - THANK YOU,-2864.35
2024-12-05,amex-1001,TST-BAR AFTER SEVEN     TORONTO,8.46
2024-12-06,amex-1001,AIRALO                  SINGAPORE,25.95
2024-12-06,amex-1001,AIRCANADA               WINNIPEG,75.00
2024-12-06,amex-1001,AMZ*XB9GOXJTB IAD NONST EAST RUTHERFORD,5.81
2024-12-06,amex-1001,APROPOS APROPOS         MISSISSAUGA,5.07
2024-12-06,amex-1001,APROPOS F61             MISSISSAUGA,31.84
2024-12-06,amex-1001,LULULEMON ATHLETICA B2C,-20.00
2024-12-06,amex-1001,UNITED AIRLINES         HOUSTON,29.01
2024-12-07,amex-1001,APPLE.COM/CA            TORONTO,-620.37
2024-12-07,amex-1001,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,-11.06
2024-12-07,amex-1001,JR EAST                 JAPAN,9.66
2024-12-07,amex-1001,MEMBERSHIP FEE INSTALLMENT,12.99
2024-12-07,amex-1001,METOROPORITAN HANEDA    TOKYO,4.82
2024-12-07,amex-1001,NOMURAYA HIC            TOKYO,88.17
2024-12-07,amex-1001,TIL*PL RUSTY TACO DULL  STERLING,24.29
2024-12-08,amex-1001,DAILY YAMAZAKI          CHIBA,6.48
2024-12-08,amex-1001,RAKURAKU JAPAN ESIM     SHINAGAWAKU,2.90
2024-12-08,amex-1001,TULLYS COFFEE           TOKYO,6.30
2024-12-09,amex-1001,BUSINESS INSIDER        NEW YORK,16.89
2024-12-10,amex-1001,RAKURAKU JAPAN ESIM     SHINAGAWAKU,2.90
2024-12-11,amex-1001,SORANIWATERRACEKYOTO    KYOTO,12.43
2024-12-12,amex-1001,GOOGLE *DOW JONES       G.CO/HELPPAY#,48.50
2024-12-12,amex-1001,RAKURAKU JAPAN ESIM     SHINAGAWAKU,2.89
2024-12-12,amex-1001,RAKURAKU JAPAN ESIM     SHINAGAWAKU,2.89
2024-12-17,amex-1001,NETFLIX.COM             844-505-2993,6.77
2024-12-19,amex-1001,APPLE.COM/BILL          TORONTO,4.51
2024-12-22,amex-1001,GOOGLE *FITBIT LLC      G.CO/HELPPAY#,14.68
2024-12-23,amex-1001,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50
2024-12-25,amex-1001,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68
2024-12-26,amex-1001,PAYMENT RECEIVED - THANK YOU,-2027.27
2024-12-29,amex-1001,ROGERS ******0136       888-764-3771,0.72
2024-12-30,amex-1001,7301547 - TRUE BURGER 4 RICHMOND,19.50
2024-12-30,amex-1001,7303307 - DIRTY APRON P RICHMOND,6.50
2024-12-30,amex-1001,AMAZON.CA*ZP57E0KM2     AMAZON.CA,19.99
2024-12-31,amex-1001,HUDSON ST2041 HUDSON ST RICHMOND,4.82
